RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30
102001,0,United States,country,,134.84630350194553,135.30810391370818,137.1928410047213,137.07495013712293,139.45350068954824,140.85582645779144,141.69725469390067,145.0806539509537,146.65664913598798,148.14814814814815,150.03257142857143,149.95640802092416,142.93551584713708,143.86927828992188,144.01814345991562,145.10575504181014,147.20658682634732,147.67944739349394,149.18467063463743,150.8472881355932,152.8064439233069,154.31164901664144,155.19978841246098,153.67521367521368,148.36546521374686,148.5222222222222,150.18433179723502,149.7005988023952,149.0416053019146,151.03954341622503,154.09139213602552,157.8189816067313,160.1960045231813,162.72638831186816,164.44606413994168,165.3364562319095,158.1196581196581,161.97913735495263,163.4949125829183,167.02808459191436,170.42735201967895,173.74546495582706,178.72330960854092,181.14254605242388,184.35046539862404,188.4229974101504,189.8854961832061,192.51080469951978,187.95774647887325,191.07211354046797,194.0556844585883,197.95471146822499,201.95549561699258,204.53534904401957,206.24303232998886,208.46106683016555,208.72689938398358,210.6546228661631,209.5986193137736,206.16654438738078,201.27822045152723,199.33554817275748,201.10666666666665,202.47073321010475,204.6813619064647,205.37124802527646,205.7821280082222,207.3095823095823,208.10631269001507,208.70229007633588,207.19393004115227,207.7562326869806,203.40953118946146,203.22085889570553,205.87648556876061,207.74128686327077,208.38974227449398,208.21820175438597,207.6710182767624,207.3732718894009,208.81281214361556,210.8244531688166,208.21609454136185,208.2696221688759,206.1130673579578,205.42026708562452,205.08457456127888,206.26599134913,203.33333333333334,205.1222053378048
394913,1,"New York, NY",msa,NY,231.0880870978118,241.5112185963965,235.02721425037112,248.0048094709582,246.67239967239965,260.29330385130214,259.8847362347511,250.21760045274476,251.23152709359607,253.03173456344132,261.9469652327637,264.0618291112065,245.58825757575758,247.4102385377943,245.01531393568146,241.28075935990339,260.38358286009293,260.1020408163265,255.8364900879851,253.67780177585792,248.5089463220676,252.95549374130738,253.8141891891892,269.33406386975577,247.03543545801728,248.3581813012674,253.10344827586206,265.08972267536706,244.5453806634201,264.14716981132074,268.37996096291477,261.6003576218149,266.4291275880375,274.2724963393531,282.54194630872485,289.0273109243698,265.31595032443295,283.3333333333333,292.1720002458045,306.8181818181818,311.28160780744145,297.7619430538457,311.90751445086704,333.17445185891324,359.1020963133799,329.7608695652174,321.7845627747924,328.4509125864879,333.25528169014086,311.46457716472884,330.84142499104905,375.9398496240602,360.0,382.2710882729854,386.1572380148232,414.2857142857143,351.2522907758094,407.4074074074074,466.06060606060606,446.46722222222223,369.49152542372883,344.09515717926934,403.1456953642384,422.3759866196194,402.6847136603234,465.00061196514247,439.725,429.2735277930655,414.14883666877853,397.3280387669942,423.66556677018633,474.81763178319363,432.03785916882475,398.2608695652174,504.8380311316786,479.85152422978825,479.3524330704437,527.0215359609915,545.7446808510638,605.7692307692307,548.0769230769231,437.71945432977463,592.1083232406935,552.4419069179039,650.6238859180036,429.24242424242425,470.1485148514852,441.62690433182235,422.42198339032734,500.0
753899,2,"Los Angeles, CA",msa,CA,362.9662147877355,383.232809914282,393.74193418661866,390.3400295208266,414.6513209013209,383.522079152408,384.8191235059761,418.2082778868203,403.3830935431872,393.91226499552374,382.37886023394503,391.55503934511046,429.56563474922007,396.8005780256875,423.87293781288116,447.9512516469038,441.74979431310857,434.156378600823,461.2325997919802,441.1652185913789,438.5210495379408,459.57288713018426,487.3213031033821,412.27806199217576,450.84714936631315,507.7619663648124,482.3747680890538,451.74537987679673,417.0869474562135,513.9227889564811,492.90150121695183,433.96868618107555,501.3347570742125,470.68950791554107,437.041564792176,477.87774202050673,494.48204060385217,458.3333333333333,517.3501577287067,546.8494939601698,496.6083521444695,550.4469987228608,581.1536205611956,547.5548780487804,576.125116068527,552.9225908372828,554.1237113402062,536.9183285849953,589.0718650325384,594.0584478922814,614.0774248849232,628.5934797072522,738.3356708742403,698.4126984126984,677.8816199376947,661.6595135908441,618.421052631579,607.0650568364267,608.9965397923876,596.8034556065592,591.940150614348,542.860647472947,600.7736224169428,573.5934777196912,601.673640167364,599.2199829103731,576.6637349750806,630.2359515678361,601.401386276001,606.5804400394065,572.8155339805825,543.9404677533664,659.0308370044053,560.1094169204267,567.6163343739368,554.6875,551.9358131501983,577.120822622108,577.120822622108,543.5616883116883,663.0380434782609,628.1385082313989,580.7798970483975,606.060606060606,596.8253968253969,663.0434782608696,599.2811833008718,631.8681318681319,645.3253796095445,580.1361386138614
394463,3,"Chicago, IL",msa,IL,134.19861871874255,144.07612817089455,143.2843385707045,145.0029761904762,148.1441223832528,148.627562642369,148.12376563528636,141.1371237458194,149.7722095671982,145.20643806857942,147.23049753129172,146.85786934741174,138.58888566057837,144.41424658968316,149.49750830564784,153.05531409364858,159.82889733840304,152.67933087609867,167.68984771573605,161.7476851851852,156.75057208237988,157.2700296735905,152.1771653543307,158.9873417721519,147.59529350918024,160.44660194174756,157.2006107731554,159.9395313681028,154.24242424242425,161.20913736644513,158.52610003680127,166.057236112794,167.63872135102534,166.73226337750177,162.6834307178631,164.90942451221497,161.338853709436,165.08008008008008,170.1212789415656,169.07191130457664,170.72002679169458,179.86775,181.5,177.55299539170508,180.80851063829786,188.88818643832008,187.0691457009666,189.0156825635549,186.93693693693695,185.87635404622398,195.73097826086956,196.67525792346072,197.72967265047518,210.13455482393357,206.79207920792078,198.4448013347862,200.369442705072,194.22632327309796,199.70625,193.31476125877668,190.2618657937807,190.66791646311674,197.745196465501,200.05744400646856,206.27646771497845,201.565445026178,201.5868355563012,200.84121976866456,202.47174738841406,200.8638136756427,199.99272727272728,206.2897324272949,198.80114387547144,204.00754975978037,204.0287047251333,212.18759936406994,211.0436320754717,222.40085744908896,216.89186583254883,210.80835928574209,214.26050769870994,209.08114781050665,205.58139534883722,216.73438245112064,214.65699793445035,207.57972913936217,209.2391304347826,221.64120260187974,217.123699078204,220.90403337969403
394514,4,"Dallas, TX",msa,TX,131.53149261639828,131.56864719704598,132.44551841967672,131.57894736842104,135.19092924194473,137.24189425825654,137.72749631087063,137.52462526766595,138.97979300147855,139.24611161939615,137.64312944608488,138.62223077760015,138.1315885132679,139.26325247079964,136.7537313432836,138.54970513584993,138.96964514749894,138.12068131476437,139.73990417522245,140.31760435571687,141.9306767199036,141.6349017272186,140.73198847262248,139.66480446927375,141.38221660345553,140.2753108348135,141.58923602101711,143.0314484307758,141.1991937627657,141.44293462061358,143.05142857142857,145.3125,145.54709146574817,149.40077913494218,148.91995577067036,150.55008685581933,151.67391304347825,153.5068352059925,154.3326475409836,161.47348248135648,163.78297150194845,162.51667677380232,167.27866177070584,170.23300047551118,177.4217090069284,175.9480696959344,177.74910663748193,179.1125822532598,180.179411166198,184.46016865079366,190.1863826550019,194.6489119501824,200.47118062306097,205.9788552679548,203.17955712451862,204.369274136716,202.84835069824257,200.2491490060033,197.91985316610584,195.71245217891556,193.29313635200305,190.64465408805032,192.47787610619469,192.67263157894737,193.23453608247422,193.94497169497168,194.48646986469865,195.57827926657265,194.87197724039828,192.36041666666668,190.43503328578223,188.98185207764556,187.87878787878788,186.3432073544433,189.75903614457832,191.95233321298213,192.7255432600421,190.5341118623233,190.74531967502648,188.45709881003998,191.97530864197532,191.30845536136042,187.4062968515742,189.12152935821575,183.94939141575912,184.8576737358194,184.5056156690864,184.61573928573893,180.73461508600306,181.7440389294404
394692,5,"Houston, TX",msa,TX,114.76265136034598,114.88603988603988,116.4826558479935,118.22547719352993,118.73996789727127,119.47645259938838,120.77294685990339,120.62636165577342,121.08625606352581,120.32382487529824,119.6726504751848,122.4143695287763,120.04805850500671,120.81351554807566,124.01562304344779,122.40143833283676,124.72487160674982,126.28826376285541,126.92685531233316,127.25,128.21204501757674,127.19058441558442,128.74177771420455,127.77297812041718,124.51023796347538,125.46158418329338,127.80968468468468,128.40046701692935,125.51996290642242,128.54158227248047,129.12277777777777,130.28571428571428,131.80866217820795,134.91899628447587,134.6438066465257,137.4223602484472,137.19224202198012,138.03555976740276,143.65155898424945,148.12923239889534,148.04469273743015,152.85222271855287,155.35991714137754,157.5194877505568,156.78608089889906,159.67741935483872,162.38571382448595,164.82271129248818,161.3229559286635,165.92920353982302,169.73935155753338,173.5352233676976,173.7261652542373,175.98051157125457,175.16186252771618,178.9431545236189,175.98343685300208,172.9463537300922,171.40497881655438,170.12433392539964,164.66474806111026,165.5633371603521,168.1401192504259,169.39564841296294,171.6158889317393,170.5111997264363,171.9324535442745,171.99666666666667,170.13763440860214,167.36314189202108,165.27777777777777,170.26917345669403,166.3095656134416,165.45356314568838,170.9781093549824,170.40095465393796,170.80745341614906,172.24729223580886,172.34955191087263,169.98130260248254,171.42296918767508,173.6281305919066,168.9516733582387,171.11182027061525,168.13334277056003,166.00281904279245,170.82785808147176,170.7239942007974,168.38503200393896,168.87592476050628
395209,6,"Washington, DC",msa,VA,181.09028683181225,176.37048812142854,185.68840579710144,184.69602835810417,180.95964683903622,182.91833731683028,184.2286658653846,190.11222287620168,186.4302872062663,193.61029411764707,189.03682634730538,192.08904109589042,186.8070818070818,178.89926869784762,185.98199482804455,188.36726198741093,186.70208500400963,189.51058238636364,191.53758020164986,188.83173059906701,198.04996953077392,193.17795138888889,195.52330508474577,195.792741165234,198.7738910926794,193.23047932674717,194.96225120109816,202.31656184486374,199.93080357142856,199.97035175879398,212.6606234096692,211.65745402358715,213.5002894549341,216.9034033099191,215.4606208192646,217.5488496274882,204.942360560093,217.7278951209163,225.67929122619907,228.71763997591813,225.80486918604652,228.35900159320235,243.36237083449743,242.85714285714286,239.72001162325137,263.1466965285554,254.73706896551724,244.48855095416008,237.64185277088504,236.17860422405877,240.66304347826087,242.31678486997635,249.69370143033174,251.6358164983165,255.65344643311965,249.94199031643097,251.92307692307693,257.5482211744535,263.29514207149407,270.53162115833976,254.91624180626366,250.5446623093682,251.2038258575198,253.1921975058982,257.4164043233834,271.35662009314706,266.8104239805563,262.5204517331142,257.38532110091745,258.20731569529187,254.76261946145667,267.97230906654755,276.0966029723992,271.51180292358845,285.11503852080125,283.3333333333333,275.5062068965517,278.1325,278.2084948633456,266.9127380128094,274.66036621382165,275.70221602764,269.1170915958451,281.25,287.9128100283669,274.81565537011807,279.3453732144556,274.25454545454545,271.2730433992997,276.7475902108769
394974,7,"Philadelphia, PA",msa,PA,164.6967265725289,166.11871426168852,165.03274139844618,169.73582295988936,167.3998512846449,163.07424600741584,163.59190071164898,166.03178368121442,162.45911813856003,174.13759750390017,165.55977229601518,165.17745535714283,158.80434695912263,159.00819672131146,160.46511627906978,162.3248337261063,158.8155958803335,165.494858942411,161.7980563654033,164.88661915964548,164.84720758693362,164.82621082621083,163.91803278688525,159.66137123745818,158.62642924086225,160.992765322849,162.6926610813563,165.3803418803419,164.08723404255318,167.01517920601077,172.04480936593453,173.5698689956332,173.21428571428572,174.00893703956692,179.26619195253602,175.45571900770716,168.53897037676157,180.2325581395349,183.31851318821583,180.56743295019157,185.26258205689277,193.3045013239188,195.17378027567105,189.62095032397409,198.66,206.7051142546246,201.53488372093022,208.13558356030666,202.16466950135293,202.32976434090463,207.8147143762231,205.20957913665964,222.29357107494275,218.71988795518206,231.535,224.15402411982984,229.03225806451613,236.3519053566145,221.34041666666667,232.3900960080849,224.77554223744292,227.12141271942775,233.82501948558067,242.66099445725615,239.55107130286305,244.9384081327902,236.13674052078574,241.90183774578108,240.7747640574193,248.25623405435385,241.0573262661955,241.92597030752916,250.09726081778484,234.77492877492878,241.16413214472993,244.9105667968288,254.86238532110093,248.45216768183448,252.99412258606213,249.7797356828194,250.94051251465166,267.1879905808477,259.17628541448056,251.49825286820803,251.78807947019868,246.32798165137615,248.81449271765666,280.0335902977906,259.99333333333334,250.0
394856,8,"Miami, FL",msa,FL,204.8780487804878,206.20972466315172,192.01992753623188,199.65990781984658,199.16351324437363,208.11635555861687,202.69939849812445,204.43037974683546,205.91334894613584,204.73423980222498,199.20318725099602,201.61020200727293,197.4167409498341,202.67946894649492,205.8457481872116,197.40400216333154,205.51107641605006,206.21550972988672,209.7389087200408,207.55135086650898,211.5987165775401,211.0521876897389,215.65955056179774,208.563247614839,205.4941087794699,204.40251572327045,209.41496598639455,206.80807585137194,210.52631578947367,210.98256021248966,213.65492624791625,211.61984422561991,220.63492063492063,223.90010001827477,225.63025210084032,229.8144145328037,220.2092511013216,225.83488620165008,240.1894451962111,236.2103758279606,250.90916466833744,255.10204081632654,245.83713588205148,246.7315881987643,268.99232979926484,262.6191355402043,264.914245883165,274.15969842357777,268.5043668122271,264.8059904697073,271.64493020543864,278.9614243323442,285.11977715877435,281.55726439114585,294.84818181818184,281.42394822006474,284.5467479674797,291.5833333333333,288.5773857535555,293.5298526105421,304.5445505171042,300.96308186195824,325.9672668804344,324.7870442203258,311.5468409586057,342.11336498044295,335.1994408970319,320.3488372093023,330.94882598380104,351.2369639065043,349.30124848973014,314.6223146223146,352.31052842196584,338.9923329682366,347.6510067114094,366.45962732919253,346.9721767594108,344.1894943098504,352.20289196104113,341.1003236245955,359.9378881987578,367.75106082036774,361.1800899421338,361.11035857451213,370.95282146160963,376.1363636363636,353.98230088495575,392.3950806003335,363.18758815232724,382.04344874405973
394347,9,"Atlanta, GA",msa,GA,101.32416311006591,102.00226244343891,103.16126542832204,104.01525658807212,105.6686046511628,107.14893617021276,106.36956043956044,106.34134152215799,108.7661454792658,112.42101542132474,112.19544047024098,112.50710631040364,106.99417152373023,108.01743745261562,110.5318588730911,110.48557353976074,113.14712163505544,111.77464285714285,114.65097831835008,114.52393760086068,117.64498269896194,115.65967349169415,114.03494509767506,119.34388608167131,114.67600700525394,117.07207207207207,119.75642760487145,123.78868463249694,119.46802490096208,122.16088730001681,124.14330218068535,128.50710900473933,127.6880502354883,130.54790869406358,129.76705882352942,132.23867345138007,132.19662676359152,133.71483333333333,138.10610285290224,141.07561813186814,144.48255242010097,144.9770043505283,149.1882404563405,151.70454545454547,154.16319005530934,157.70129987009125,159.28338225147152,167.66937669376694,162.3346719606995,167.885838150289,171.57500989186002,172.51738445178688,176.41073384446878,182.61032138442522,182.1457905544148,183.3023140222707,184.4606213297044,179.6328592814371,183.01422529796233,183.90498247677866,178.58994943231988,182.43914355226872,183.11688311688312,187.12512804753123,189.5767086156825,189.41872461095676,187.21666666666667,185.35634743875278,189.2907840440165,194.32612113632302,188.5112264733604,192.7722222222222,187.40010655301012,190.00254272781729,189.47628865979382,195.5238359201774,193.91672391420502,191.14990969295604,192.13065099457503,192.35908553409539,196.41718334809565,195.77937649880096,198.70517928286853,194.7,191.3403451995685,192.20749769960503,189.7338403041825,193.65599478707514,192.49259624876603,191.65673032137866
